"SUBJECT","Sujet","LOCATION","Pays","MEASURE","Mesure","FREQUENCY","Fréquence","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTIMVA01","Importations des biens, c.v.s","AUS","Australie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-5.81318529128868,,
"XTIMVA01","Importations des biens, c.v.s","AUT","Autriche","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-5.0511236639345,,
"XTIMVA01","Importations des biens, c.v.s","BEL","Belgique","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-6.0545761835953,,
"XTIMVA01","Importations des biens, c.v.s","CAN","Canada","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-1.40466349890833,,
"XTIMVA01","Importations des biens, c.v.s","CZE","République tchèque","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-2.89659427594308,,
"XTIMVA01","Importations des biens, c.v.s","DNK","Danemark","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-4.3945749763041,,
"XTIMVA01","Importations des biens, c.v.s","FIN","Finlande","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-6.17685624306576,,
"XTIMVA01","Importations des biens, c.v.s","FRA","France","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.15505976760773,,
"XTIMVA01","Importations des biens, c.v.s","DEU","Allemagne","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.95883421534776,,
"XTIMVA01","Importations des biens, c.v.s","GRC","Grèce","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-2.57384970636157,,
"XTIMVA01","Importations des biens, c.v.s","HUN","Hongrie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-0.0365265432425867,,
"XTIMVA01","Importations des biens, c.v.s","ISL","Islande","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-14.5829270794354,,
"XTIMVA01","Importations des biens, c.v.s","IRL","Irlande","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-7.4243038553616,,
"XTIMVA01","Importations des biens, c.v.s","ITA","Italie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-5.8802610765632,,
"XTIMVA01","Importations des biens, c.v.s","JPN","Japon","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.46303394383015,,
"XTIMVA01","Importations des biens, c.v.s","KOR","Corée","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-6.00981363552327,,
"XTIMVA01","Importations des biens, c.v.s","LUX","Luxembourg","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-0.471916287842788,,
"XTIMVA01","Importations des biens, c.v.s","MEX","Mexique","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-1.87972660361792,,
"XTIMVA01","Importations des biens, c.v.s","NLD","Pays-Bas","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-1.66411834194566,,
"XTIMVA01","Importations des biens, c.v.s","NZL","Nouvelle-Zélande","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.41973177186404,,
"XTIMVA01","Importations des biens, c.v.s","NOR","Norvège","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-1.20138109740686,,
"XTIMVA01","Importations des biens, c.v.s","POL","Pologne","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-1.35180555842387,,
"XTIMVA01","Importations des biens, c.v.s","PRT","Portugal","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,0.531713701938372,,
"XTIMVA01","Importations des biens, c.v.s","SVK","République slovaque","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.19814159220216,,
"XTIMVA01","Importations des biens, c.v.s","ESP","Espagne","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-4.8673212455248,,
"XTIMVA01","Importations des biens, c.v.s","SWE","Suède","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-6.68448008495746,,
"XTIMVA01","Importations des biens, c.v.s","CHE","Suisse","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,0.00534951663196066,,
"XTIMVA01","Importations des biens, c.v.s","TUR","Turquie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-8.87430376602714,,
"XTIMVA01","Importations des biens, c.v.s","GBR","Royaume-Uni","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.4233892536359,,
"XTIMVA01","Importations des biens, c.v.s","USA","États-Unis","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-1.58401405980936,,
"XTIMVA01","Importations des biens, c.v.s","BRA","Brésil","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-2.28613087592928,,
"XTIMVA01","Importations des biens, c.v.s","CHN","Chine (République populaire de)","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.12411375224628,,
"XTIMVA01","Importations des biens, c.v.s","EST","Estonie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-6.1364013126228,,
"XTIMVA01","Importations des biens, c.v.s","IND","Inde","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-5.45081246615007,,
"XTIMVA01","Importations des biens, c.v.s","IDN","Indonésie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-9.29277538300156,,
"XTIMVA01","Importations des biens, c.v.s","RUS","Russie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,1.84324382381866,,
"XTIMVA01","Importations des biens, c.v.s","ZAF","Afrique du Sud","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-5.452503347661,,
"XTIMVA01","Importations des biens, c.v.s","EU28","Union européenne (28 pays)","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.21446074997245,,
"XTIMVA01","Importations des biens, c.v.s","OECD","OCDE - Total","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.24422098945974,,
"XTIMVA01","Importations des biens, c.v.s","G-7","G7","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-2.86658022018143,,
"XTIMVA01","Importations des biens, c.v.s","ARG","Argentine","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-24.980910667435,,
"XTIMVA01","Importations des biens, c.v.s","G-20","G20","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.33283768289953,,
"XTIMVA01","Importations des biens, c.v.s","SAU","Arabie saoudite","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,11.3380669716977,,
"XTIMVA01","Importations des biens, c.v.s","CRI","Costa Rica","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.60592861518102,,
"XTIMVA01","Importations des biens, c.v.s","EA19","Zone euro (19 pays)","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.7279278941549,,
"XTIMVA01","Importations des biens, c.v.s","CHL","Chili","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-6.6469274809361,,
"XTIMVA01","Importations des biens, c.v.s","ISR","Israël","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-0.160386736122527,,
"XTIMVA01","Importations des biens, c.v.s","LVA","Lettonie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-2.14051622445706,,
"XTIMVA01","Importations des biens, c.v.s","LTU","Lituanie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-2.13547412577074,,
"XTIMVA01","Importations des biens, c.v.s","SVN","Slovénie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,3.7890767413735,,
"XTIMVA01","Importations des biens, c.v.s","COL","Colombie","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,2.98604111388929,,
"XTIMVA01","Importations des biens, c.v.s","EU27_2020","Union européenne – 27 pays (à partir du 01/02/2020)","GY","Glissement annuel en pourcentage","A","Annuelle","2019","2019","PC","Pourcentage","0","Unités",,,-3.79711510109295,,
