"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2019",108.08375000043,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2019",126.597999996338,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2019",113.778749999321,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","2019",129.744012741298,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2019",141.899999999878,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2019",117.529793825906,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2019",104.486999999496,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2019",110.7,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2019",128.707321764941,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2019",105.545999998893,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2019",170.05000000921,
"ISL","HOUSECOST","NOMINAL","IDX2015","A","2019",148.291120725938,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2019",134.398164004371,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2019",98.5249999999937,
"JPN","HOUSECOST","NOMINAL","IDX2015","A","2019",108.549750000341,
"KOR","HOUSECOST","NOMINAL","IDX2015","A","2019",103.968278090957,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2019",131.986829969372,
"MEX","HOUSECOST","NOMINAL","IDX2015","A","2019",136.738908152061,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2019",132.657999999842,
"NZL","HOUSECOST","NOMINAL","IDX2015","A","2019",129.899925251206,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2019",116.799999995196,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2019",122.522500000234,
"PRT","HOUSECOST","NOMINAL","IDX2015","A","2019",141.462500004499,
"SVK","HOUSECOST","NOMINAL","IDX2015","A","2019",132.395169014158,
"ESP","HOUSECOST","NOMINAL","IDX2015","A","2019",124.715188215102,
"SWE","HOUSECOST","NOMINAL","IDX2015","A","2019",120.336250000285,
"CHE","HOUSECOST","NOMINAL","IDX2015","A","2019",110.556776392255,
"TUR","HOUSECOST","NOMINAL","IDX2015","A","2019",141.024249999595,
"GBR","HOUSECOST","NOMINAL","IDX2015","A","2019",116.69225,
"USA","HOUSECOST","NOMINAL","IDX2015","A","2019",125.943079452562,
"BRA","HOUSECOST","NOMINAL","IDX2015","A","2019",100.207183689196,
"CHL","HOUSECOST","NOMINAL","IDX2015","A","2019",123.777749999273,
"CHN","HOUSECOST","NOMINAL","IDX2015","A","2019",139.503123977918,
"COL","HOUSECOST","NOMINAL","IDX2015","A","2019",134.306249997035,
"EST","HOUSECOST","NOMINAL","IDX2015","A","2019",125.267186833932,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2019",126.309499996006,
"IDN","HOUSECOST","NOMINAL","IDX2015","A","2019",111.910470224399,
"ISR","HOUSECOST","NOMINAL","IDX2015","A","2019",112.812249999638,
"LVA","HOUSECOST","NOMINAL","IDX2015","A","2019",140.875000009561,
"LTU","HOUSECOST","NOMINAL","IDX2015","A","2019",131.610000000331,
"RUS","HOUSECOST","NOMINAL","IDX2015","A","2019",119.822000008152,
"SVN","HOUSECOST","NOMINAL","IDX2015","A","2019",129.689999996186,
"ZAF","HOUSECOST","NOMINAL","IDX2015","A","2019",118.297704255739,
"EA","HOUSECOST","NOMINAL","IDX2015","A","2019",118.579999999789,
"EA17","HOUSECOST","NOMINAL","IDX2015","A","2019",118.514322295786,
"OECD","HOUSECOST","NOMINAL","IDX2015","A","2019",121.62317274286,
"BGR","HOUSECOST","NOMINAL","IDX2015","A","2019",131.417500001397,
"ROU","HOUSECOST","NOMINAL","IDX2015","A","2019",122.689999994411,
"SAU","HOUSECOST","NOMINAL","IDX2015","A","2019",83.5022500023162,
